,lag_1d,lag_5d,lag_21d,lag_63d,lag_252d
2020-10-22,0.9999811845706854,0.9995333203001833,0.9917370156567972,,
2020-10-23,0.9999810340841611,0.9995343688620004,0.9916491682508107,,
2020-10-26,0.9999809858074582,0.9995343189413495,0.9915648045532929,,
2020-10-27,0.9999811764672468,0.9995338807647312,0.9914786805980453,,
2020-10-28,0.9999810926101905,0.9995313466955456,0.9913824100685891,,
2020-10-29,0.9999811653344667,0.9995327604341911,0.9912799291610768,,
2020-10-30,0.9999809793571663,0.999531150454794,0.9911654533077366,,
2020-11-02,0.9999809799813051,0.9995309077251281,0.9910426429066674,,
2020-11-03,0.9999809095488685,0.999530042703528,0.9909192822807812,,
2020-11-04,0.999981281102988,0.9995199328285276,0.9907840698707399,,
2020-11-05,0.9999805115675775,0.9995035354399638,0.9906425345069505,,
2020-11-06,0.9999805615076247,0.9994858549114656,0.9905205465150427,,
2020-11-09,0.9999806431899185,0.9994632392062046,0.9903925688057629,,
2020-11-10,0.99997795667195,0.9994399389090217,0.99026928275768,,
2020-11-11,0.9999775391488949,0.99943653292339,0.990233002159831,,
2020-11-12,0.9999770992961778,0.9994348694595919,0.9902072574340042,,
2020-11-13,0.999976893467661,0.9994334192629715,0.9901816888576364,,
2020-11-16,0.9999772525664468,0.9994308793203558,0.9901510409262169,,
2020-11-17,0.9999771200372811,0.9994295023123346,0.9901165162481622,,
2020-11-18,0.9999769822854654,0.999430378933975,0.9900828585939957,,
2020-11-19,0.9999769443660516,0.9994323033188566,0.9900488032873376,,
2020-11-20,0.9999768404816625,0.999433118437523,0.9900080221792933,,
2020-11-23,0.9999772365441806,0.9994318429784828,0.9899606015319937,,
2020-11-24,0.9999772587997525,0.9994270868659763,0.9898946135343363,,
2020-11-25,0.9999769987518904,0.9994238899537868,0.9898200580214918,,
2020-11-27,0.9999770052433606,0.9994224801030027,0.9897528529000851,,
2020-11-30,0.9999767330983923,0.9994208702461662,0.9896803364659835,,
2020-12-01,0.9999765333399919,0.999420519030306,0.9896097188515633,,
2020-12-02,0.999976700996091,0.9994202341263906,,,
2020-12-03,0.999976600673769,0.9994217076717258,,,
2020-12-04,0.9999766186556207,0.9994218903791539,,,
2020-12-07,0.9999766437005361,0.9994202628062064,,,
2020-12-08,0.9999765284934826,0.9994155786291519,,,
2020-12-09,0.9999768173029857,0.9994082431993158,,,
2020-12-10,0.9999761330843938,0.999398539584662,,,
2020-12-11,0.9999760191511872,0.999394289204202,,,
2020-12-14,0.9999757946857863,0.9993900022331736,,,
2020-12-15,0.9999754830810074,0.9993856543286759,,,
2020-12-16,0.9999754651182127,0.9993817116552162,,,
2020-12-17,0.9999752981435953,0.9993756433074295,,,
2020-12-18,0.9999751360019841,0.9993681867625895,,,
2020-12-21,0.9999749124908074,0.9993609658113255,,,
2020-12-22,0.9999746917284271,0.9993541518656739,,,
2020-12-23,0.999974139828674,0.9993479424689614,,,
2020-12-24,0.9999738118204412,,,,
2020-12-28,0.9999735712906133,,,,
2020-12-29,0.9999734659508908,,,,
2020-12-30,0.9999733622577436,,,,
2020-12-31,,,,,
