portfolio,Ticker,beta_2019
peripheral medium,WVVI,0.15593469335110902
peripheral medium,XRAY,0.7912490759496776
peripheral medium,YLDE,0.3619251409643925
peripheral slow,AAPL,1.557019771028333
peripheral slow,ACGL,0.780633690314477
peripheral slow,ACIC,0.7377776644659015
peripheral slow,ACNT,0.726939321263303
peripheral slow,ACWI,0.9214235579571589
peripheral slow,AEC,1.0939006839174974
peripheral slow,AGNC,0.33446275217474136
peripheral slow,AIFU,1.310665225163232
peripheral slow,ALRS,0.0781254563106361
peripheral slow,AMGN,0.7226374575926028
peripheral slow,AMKR,1.5346479344619606
peripheral slow,AMTX,0.7229710426237728
peripheral slow,APRE,1.8410363785757982
peripheral slow,ARKR,0.2381089454502253
peripheral slow,ARTL,0.6589326605980952
peripheral slow,ASRV,0.12860473430680033
peripheral slow,ATOS,0.15965187422996957
